ticketNo,price,busStop
0,0,Colombo
1,30,Maligawatta
2,38,Kalenitissa
3,50,4th Milepost
4,61,Thorana Handiya
5,73,University of Kelaniya
6,84,Kiribathgoda
7,96,Mahara
8,99,Kadawatha
9,107,Gonahena
10,115,Indigahamulla
11,122,Kirillawala
12,128,Trackmo Handiya
13,136,Mudungoda
14,143,Miriswatta
15,149,Yakkala
16,155,Aluthgama
17,163,Kalagedihena
18,168,Thihariya
19,176,Nittambuwa Sangabodi
20,182,Nittambuwa
21,189,Kalalpitiya
22,195,Pasyala
23,203,Kajugama
24,209,Radawadunna
25,216,Wewaldeniya
26,222,Danowita
27,230,Dummaldeniya
28,235,Warakapola
29,243,Ambepussa
30,251,Mahena
31,256,Tholangamuwa
32,264,Gasnawawatta Handiya
33,270,Nelumdeniya
34,277,Batapolathanna 
35,283,Siyambalapitiya
36,291,Ballapana Handiya
37,297,Galigamuwa
38,304,Ambanpitiya
39,310,Ranwala Handiya
40,318,Kegalle
41,323,Meepitiya
42,331,Karandupotha
43,337,Molagoda
44,344,Mangalagama
45,350,Uthuwankanda
46,358,Anwaram
47,364,Mawanella
48,371,Beligammana
49,377,Higula
50,385,Ganethanna
51,390,Pahala Kadugannawa
52,398,Kadugannawa
53,404,Henawala
54,411,Pilimathalawa
55,419,Ambilmigama
56,425,Kiribathkumbura
57,432,Peradeniya
58,438,Gatambe
59,446,Mulgampola
60,452,Kandy
